Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
215;Maximilian Marterer;GER;218;0;0
216;Vasek Pospisil;CAN;214;0;0
217;Lukas Lacko;SVK;213;0;0
218;Mirza Basic;BIH;213;0;0
219;Andrea Collarini;ARG;213;87;80
220;Enrique Lopez-Perez;ESP;213;-1;0
221;Christopher O'Connell;AUS;213;-1;0
222;Yan Bai;CHN;212;-1;0
223;Maxime Cressy;FRA;212;-1;0
224;Viktor Galovic;CRO;211;-1;0
225;Zhe Li;CHN;209;-1;0
226;Aleksandr Nedovesov;KAZ;207;-1;0
227;Elliot Benchetrit;FRA;202;-1;0
228;Gleb Sakharov;FRA;202;-1;0
229;Yosuke Watanuki;JPN;202;-1;0
230;Roman Safiullin;RUS;202;-1;0
231;Tobias Kamke;GER;201;-1;0
232;Santiago Giraldo;COL;200;-1;0
233;Mohamed Safwat;EGY;200;-1;0
234;Bernabe Zapata Miralles;ESP;196;-1;0
235;Mathias Bourgue;FRA;195;-1;0
236;Dmitry Popko;KAZ;194;26;29
237;Max Purcell;AUS;191;-2;0
238;Alejandro Tabilo;CHI;191;-2;0
239;Blaz Kavcic;SLO;190;-2;0
240;Matteo Viola;ITA;189;-2;0
241;John-Patrick Smith;AUS;187;-2;0
242;Roberto Ortega-Olmedo;ESP;186;-1;0
243;Akira Santillan;AUS;183;-1;0
